Empresa o Servicio,Licencias Nuevas,Renovacion,Cambio de Direccion ,Cambio de categoria,Periodo,Ano
Sala de Masajes,0,1,0,0,Enero-Marzo,2022
Agencia de Viajes,23,10,0,0,Abril-Junio,2022
Gift Shop,1,1,0,0,Abril-Junio,2022
Hoteles,5,14,0,0,Abril-Junio,2022
Bares y Restaurantes,11,4,0,0,Abril-Junio,2022
Turismo Aventura,14,13,0,0,Abril-Junio,2022
Sala de Masajes,0,1,0,0,Abril-Junio,2022
Agencia de Viajes,20,11,0,0,Julio-Septiembre,2022
Gift Shop,0,6,0,0,Julio-Septiembre,2022
Hoteles,2,24,0,0,Julio-Septiembre,2022
Bares y Restaurantes,9,4,0,0,Julio-Septiembre,2022
Turismo Aventura,5,14,0,0,Julio-Septiembre,2022
Sala de Masajes,0,1,0,0,Julio-Septiembre,2022
Agencia de Viajes,30,23,0,0,Octubre-Diciembre,2022
Gift Shop,9,6,0,0,Octubre-Diciembre,2022
Hoteles,4,69,0,0,Octubre-Diciembre,2022
Bares y Restaurantes,14,14,0,0,Octubre-Diciembre,2022
Turismo Aventura,18,12,0,0,Octubre-Diciembre,2022
Sala de Masajes,0,0,0,0,Octubre-Diciembre,2022
Agencia de Viajes,13,13,0,0,Enero-Marzo,2023
Gift Shop,3,4,0,0,Enero-Marzo,2023
Hoteles,0,20,0,0,Enero-Marzo,2023
Bares y Restaurantes,5,9,0,0,Enero-Marzo,2023
Turismo Aventura,8,11,0,0,Enero-Marzo,2023
Sala de Masajes,1,0,0,0,Enero-Marzo,2023
Agencia de Viajes,13,13,0,0,Abril-Junio,2023
Gift Shop,3,4,0,0,Abril-Junio,2023
Hoteles,0,20,0,0,Abril-Junio,2023
Bares y Restaurantes,5,9,0,0,Abril-Junio,2023
Turismo Aventura,8,11,0,0,Abril-Junio,2023
Sala de Masajes,1,0,0,0,Abril-Junio,2023
Agencia de Viajes,25,27,0,0,Julio-Septiembre,2023
Gift Shop,7,6,0,0,Julio-Septiembre,2023
Hoteles,3,33,0,0,Julio-Septiembre,2023
Bares y Restaurantes,15,36,0,0,Julio-Septiembre,2023
Turismo Aventura,8,27,0,0,Julio-Septiembre,2023
Sala de Masajes,0,1,0,0,Julio-Septiembre,2023
Agencia de Viajes,16,13,0,0,Octubre-Diciembre,2023
Gift Shop,9,6,0,0,Octubre-Diciembre,2023
Hoteles,6,26,0,0,Octubre-Diciembre,2023
Bares y Restaurantes,25,37,0,0,Octubre-Diciembre,2023
Turismo Aventura,6,22,0,0,Octubre-Diciembre,2023
Sala de Masajes,0,1,0,0,Octubre-Diciembre,2023
Agencia de Viajes,24,8,4,2,Enero-Marzo,2024
Gift Shop,3,5,1,0,Enero-Marzo,2024
Hoteles,1,31,31,0,Enero-Marzo,2024
Bares y Restaurantes,28,19,19,0,Enero-Marzo,2024
Turismo Aventura,7,22,22,1,Enero-Marzo,2024
Sala de Masajes,2,1,1,0,Enero-Marzo,2024
Agencia de Viajes,9,16,1,0,Abril-Junio,2024
Gift Shop,0,6,0,0,Abril-Junio,2024
Hoteles,2,15,0,0,Abril-Junio,2024
