,,,,,,,,,
Licencias Emitidas 2022-2025,,,,,,,,,
Fecha de Emisión,Mes,Año,Provincia,Municipio,Barrio/Sector,Número de Licencia,Tipologia,Metros Cuadrados,Inversión Total
02/10/2023,FEBRERO,2023,DISTRITO NACIONAL,SANTO DOMINGO DE GUZMÁN,EL MILLÓN,94622,COMBINADOS,11832.53,728883848
02/10/2023,FEBRERO,2023,LA ALTAGRACIA,HIGÜEY,LAS DOS JARDAS,94621,ESTACIÓN DE COMBUSTIBLE,465.85,28696360
02/13/2023,FEBRERO,2023,SAN CRISTÓBAL,YAGUATE,DOÑA ANA,94623,COMERCIAL Y OFICINAS,824.51,50789816
02/13/2023,FEBRERO,2023,SANTIAGO,SANTIAGO,GREGORIO LUPERÓN,23085 RN,APARTAMENTOS,1595.55,98285880
02/13/2023,FEBRERO,2023,SANTIAGO,SANTIAGO,LA MORALEJA,22994-A RN,APARTAMENTOS,0,0
02/13/2023,FEBRERO,2023,SANTO DOMINGO,SANTO DOMINGO ESTE,PRADO ORIENTAL,94624,ESTACIÓN DE COMBUSTIBLE,431.31,26568696
02/14/2023,FEBRERO,2023,PUERTO PLATA,PUERTO PLATA,COSTAMBAR,23086 RN,APARTAMENTOS,962.48,59288768
02/14/2023,FEBRERO,2023,SANTIAGO,SAN JOSÉ DE LAS MATAS,CENTRO DEL PUEBLO,22055-A RN,APARTAMENTOS,91.4,5630240
02/15/2023,FEBRERO,2023,SANTIAGO,PUÑAL,URBANIZACIÓN THOMÉN,23088 RN,APARTAMENTOS,1157.85,71323560
02/15/2023,FEBRERO,2023,SANTIAGO,SANTIAGO,RINCON LARGO,23087 RN,APARTAMENTOS,4807.37,296133992
02/15/2023,FEBRERO,2023,SANTO DOMINGO,SANTO DOMINGO OESTE,LOTIFICACIÓN ENGOMBE,94625,ESTRUCTURAS ESPECIALES,1380.79,85056664
02/16/2023,FEBRERO,2023,DISTRITO NACIONAL,SANTO DOMINGO DE GUZMÁN,QUISQUEYA,94633,APARTAMENTOS,5365,330484000
02/16/2023,FEBRERO,2023,DUARTE,SAN FRANCISCO DE MACORÍS,URBANIZACIÓN EL SILENCIO,344-A RNE,APARTAMENTOS,278,17124800
02/16/2023,FEBRERO,2023,LA ALTAGRACIA,HIGÜEY,JUANILLO,87453-A,APARTAMENTOS,8168,503148800
02/16/2023,FEBRERO,2023,LA VEGA,LA VEGA,CAROLINA,00194 RCS,APARTAMENTOS,582.4,35875840
02/16/2023,FEBRERO,2023,SAMANÁ,LAS TERRENAS,ABRA GRANDE,94631,APARTAMENTOS,2799.88,172472608
02/16/2023,FEBRERO,2023,SAMANÁ,LAS TERRENAS,EL COSÓN,94632,VIVIENDAS,483,29752800
02/16/2023,FEBRERO,2023,SAMANÁ,SAMANÁ,PLAYA COLORADA,93582,HOSPEDAJE,4623.58,284812528
02/16/2023,FEBRERO,2023,SANTIAGO,PUÑAL,JARDINES DEL SUR,94630,APARTAMENTOS,441.14,27174224
02/16/2023,FEBRERO,2023,SANTO DOMINGO,SANTO DOMINGO ESTE,PRADO ORIENTAL,94626,APARTAMENTOS,1253.72,77229152
02/16/2023,FEBRERO,2023,SANTO DOMINGO,SANTO DOMINGO OESTE,VILLA AURA,94235,APARTAMENTOS,3523.71,217060536
02/17/2023,FEBRERO,2023,LA ALTAGRACIA,HIGÜEY,BÁVARO,94636,VIVIENDAS,18873,1162576800
02/17/2023,FEBRERO,2023,LA ALTAGRACIA,HIGÜEY,PUNTA CANA,94634,VIVIENDAS,558,34372800
02/17/2023,FEBRERO,2023,SANTIAGO,PUÑAL,VILLA CENTRO,23089 RN,APARTAMENTOS,1091.02,67206832
02/17/2023,FEBRERO,2023,SANTO DOMINGO,PEDRO BRAND,ARROYO INDIO,94627,ESTRUCTURAS ESPECIALES,25423.15,1566066040
02/17/2023,FEBRERO,2023,SANTO DOMINGO,SANTO DOMINGO ESTE,REPARTO LOS TRES OJOS,94635,APARTAMENTOS,1992.01,122707816
02/20/2023,FEBRERO,2023,DISTRITO NACIONAL,SANTO DOMINGO DE GUZMÁN,VIEJO ARROYO HONDO,94637,APARTAMENTOS,1687.12,103926592
02/20/2023,FEBRERO,2023,DUARTE,SAN FRANCISCO DE MACORÍS,URBANIZACIÓN TERRANOVA,395 RNE,APARTAMENTOS,1496,92153600
02/20/2023,FEBRERO,2023,SANTIAGO,SANTIAGO,LOS ÁLAMOS,23090 RN,COMERCIAL Y OFICINAS,425,26180000
02/20/2023,FEBRERO,2023,SANTO DOMINGO,SANTO DOMINGO ESTE,RESIDENCIAL ALTAGRACIA II,94638,APARTAMENTOS,573.12,35304192
02/20/2023,FEBRERO,2023,SANTO DOMINGO,SANTO DOMINGO OESTE,COSTA VERDE,94639,APARTAMENTOS,2135.81,131565896
02/21/2023,FEBRERO,2023,DISTRITO NACIONAL,SANTO DOMINGO DE GUZMÁN,RENACIMIENTO,94640,APARTAMENTOS,3317.86,204380176
02/21/2023,FEBRERO,2023,ESPAILLAT,MOCA,LOS ROBLES,23092 RN,APARTAMENTOS,2744.44,169057504
02/21/2023,FEBRERO,2023,SANTIAGO,SANTIAGO,URBANIZACIÓN AMANECER,23091 RN,APARTAMENTOS,411.74,25363184
02/22/2023,FEBRERO,2023,SAN CRISTÓBAL,SAN CRISTÓBAL,MADRE VIEJA DEL SUR,94303,COMBINADOS,10268.51,632540216
02/22/2023,FEBRERO,2023,SANTIAGO,PUÑAL,RESIDENCIAL NONO,23093 RN,APARTAMENTOS,3130.336,192828697.6
02/22/2023,FEBRERO,2023,SANTIAGO,SANTIAGO,GREGORIO LUPERÓN,23096 RN,APARTAMENTOS,545.2,33584320
02/22/2023,FEBRERO,2023,SANTIAGO,SANTIAGO,LOS TOCONES,23095 RN,VIVIENDAS,381.68,23511488
02/22/2023,FEBRERO,2023,SANTO DOMINGO,SANTO DOMINGO ESTE,RESIDENCIAL RADIANTE AMANECER,94641,APARTAMENTOS,653.95,40283320
02/23/2023,FEBRERO,2023,DISTRITO NACIONAL,SANTO DOMINGO DE GUZMÁN,LOS RÍOS,91534-R,APARTAMENTOS,0,0
02/23/2023,FEBRERO,2023,DISTRITO NACIONAL,SANTO DOMINGO DE GUZMÁN,MIRADOR SUR,94642,APARTAMENTOS,1748.78,107724848
02/23/2023,FEBRERO,2023,PUERTO PLATA,SOSÚA,EL BATEY,23098 RN,APARTAMENTOS,1245.45,76719720
02/23/2023,FEBRERO,2023,SANTIAGO,SANTIAGO,EL EMBRUJO III PRIMERA ETAPA,23099 RN,APARTAMENTOS,581.57,35824712
02/23/2023,FEBRERO,2023,SANTIAGO,SANTIAGO,LOS SAMANES,23097 RN,VIVIENDAS,421.05,25936680
02/23/2023,FEBRERO,2023,SANTO DOMINGO,SAN ANTONIO DE GUERRA,EL TORO,94643,ESTRUCTURAS ESPECIALES,4232.15,260700440
02/23/2023,FEBRERO,2023,SANTO DOMINGO,SANTO DOMINGO NORTE,RESIDENCIAL GRAN VEREDA,94644,VIVIENDAS,405.32,24967712
02/24/2023,FEBRERO,2023,DISTRITO NACIONAL,SANTO DOMINGO DE GUZMÁN,ALTOS DE ARROYO HONDO,94646,APARTAMENTOS,1525.28,93957248
02/24/2023,FEBRERO,2023,DISTRITO NACIONAL,SANTO DOMINGO DE GUZMÁN,PIANTINI,94098-A,APARTAMENTOS,0,0
02/24/2023,FEBRERO,2023,ESPAILLAT,SAN VÍCTOR,SAN VÍCTOR,23101 RN,APARTAMENTOS,668.61,41186376
02/24/2023,FEBRERO,2023,LA ALTAGRACIA,HIGÜEY,PUNTA CANA,00131 RY,COMERCIAL Y OFICINAS,1614.73,99467368
02/24/2023,FEBRERO,2023,LA ALTAGRACIA,HIGÜEY,PUNTA CANA,92305-A RY,COMERCIAL Y OFICINAS,6406.43,394636088
02/24/2023,FEBRERO,2023,LA VEGA,LA VEGA,ARENOSO O ARENOSO ARRIBA,00196 RCS,VIVIENDAS,234.77,14461832
02/24/2023,FEBRERO,2023,LA VEGA,LA VEGA,RIÍO VERDE ARRIBA,00197 RCS,COMERCIAL Y OFICINAS,1653.3,101843280
02/24/2023,FEBRERO,2023,LA VEGA,LA VEGA,VILLA FRESCA,00195 RCS,COMERCIAL Y OFICINAS,939.15,57851640
02/24/2023,FEBRERO,2023,SANTIAGO,SANTIAGO,LOS ÁLAMOS,22942-A RN,APARTAMENTOS,0,0
02/24/2023,FEBRERO,2023,SANTIAGO,SANTIAGO,RESIDENCIAL VILLA MARíA,23100 RN,APARTAMENTOS,591.97,36465352
02/24/2023,FEBRERO,2023,SANTIAGO,SANTIAGO,URBANIZACIÓN DON JOSÉ MARÍA,23102 RN,VIVIENDAS,363.42,22386672
02/28/2023,FEBRERO,2023,DISTRITO NACIONAL,SANTO DOMINGO DE GUZMÁN,CERROS DE ARROYO HONDO,93809-A,VIVIENDAS,0,0
02/28/2023,FEBRERO,2023,DISTRITO NACIONAL,SANTO DOMINGO DE GUZMÁN,PALMA REAL,94647,COMERCIAL Y OFICINAS,480,29568000
02/28/2023,FEBRERO,2023,DISTRITO NACIONAL,SANTO DOMINGO DE GUZMÁN,QUISQUEYA,94524-A,APARTAMENTOS,0,0
02/28/2023,FEBRERO,2023,ESPAILLAT,MOCA,CENTRO DEL PUEBLO O EL MAMEY,23103 RN,APARTAMENTOS,1078.74,66450384
02/28/2023,FEBRERO,2023,ESPAILLAT,MOCA,VILLA ESTANCIA NUEVA,23104 RN,APARTAMENTOS,665.54,40997264
02/28/2023,FEBRERO,2023,LA ALTAGRACIA,HIGÜEY,BÁVARO,94648,VIVIENDAS,6688,411980800
02/28/2023,FEBRERO,2023,PUERTO PLATA,PUERTO PLATA,COSTAMBAR,94658,VIVIENDAS,144.95,8928920
02/28/2023,FEBRERO,2023,SANTO DOMINGO,SANTO DOMINGO ESTE,BRISA ORIENTAL,93717-A,APARTAMENTOS,0,0
02/28/2023,FEBRERO,2023,SANTO DOMINGO,SANTO DOMINGO ESTE,ISABELITA,94654,APARTAMENTOS,1654,101886400
02/28/2023,FEBRERO,2023,SANTO DOMINGO,SANTO DOMINGO ESTE,LOS PAREDONES,94656,ESTRUCTURAS ESPECIALES,4283.15,263842040
02/28/2023,FEBRERO,2023,SANTO DOMINGO,SANTO DOMINGO ESTE,PRADO ORIENTAL,94655,APARTAMENTOS,534,32894400
02/28/2023,FEBRERO,2023,SANTO DOMINGO,SANTO DOMINGO ESTE,RESIDENCIAL BRISA ORIENTAL VI,94659,APARTAMENTOS,820,50512000
02/28/2023,FEBRERO,2023,SANTO DOMINGO,SANTO DOMINGO NORTE,VILLA MELLA,94650,APARTAMENTOS,1499,92338400
02/28/2023,FEBRERO,2023,SANTO DOMINGO,SANTO DOMINGO OESTE,RESIDENCIAL SAN BENITO,94657,DEPÓSITOS,707.24,43565984
03/01/2023,MARZO,2023,DISTRITO NACIONAL,SANTO DOMINGO DE GUZMÁN,LOS PRADOS,93863-R,APARTAMENTOS,0,0
03/01/2023,MARZO,2023,SANTIAGO,SANTIAGO,RESIDENCIAL BRISAS DEL NORTE,23061 RN,COMBINADOS,3604.66,222047056
03/01/2023,MARZO,2023,SANTIAGO,SANTIAGO,RESIDENCIAL VILLA MARIA,23105 RN,VIVIENDAS,400.64,24679424
03/03/2023,MARZO,2023,DISTRITO NACIONAL,SANTO DOMINGO DE GUZMÁN,PIANTINI,94653,COLEGIOS Y CENTROS EDUCATIVOS,9703.55,597738680
03/03/2023,MARZO,2023,SANTO DOMINGO,SANTO DOMINGO OESTE,VILLA NACO,94660,APARTAMENTOS,3147.2,180019840
03/06/2023,MARZO,2023,DISTRITO NACIONAL,SANTO DOMINGO DE GUZMÁN,LOS RESTAURADORES,94662,APARTAMENTOS,2272.85,140007560
03/06/2023,MARZO,2023,SAN PEDRO DE MACORÍS,SAN PEDRO DE MACORÍS,URBANIZACIÓN HAZMÍN,94661,APARTAMENTOS,5230,322168000
03/07/2023,MARZO,2023,LA ALTAGRACIA,HIGÜEY,BÁVARO,00132 RY,APARTAMENTOS,10044.32,618730112
03/07/2023,MARZO,2023,SANTIAGO,SAN JOSÉ DE LAS MATAS,URBANIZACIÓN ALTOS DE SAJOMA,23106 RN,APARTAMENTOS,4458.96,274671936
03/09/2023,MARZO,2023,SANTIAGO,SANTIAGO,LA FARDIQUERA,23108 RN,APARTAMENTOS,5632.43,346957688
03/09/2023,MARZO,2023,SANTIAGO,TAMBORIL,LOS RECIO,23107 RN,APARTAMENTOS,4006.4,246794240
03/10/2023,MARZO,2023,DISTRITO NACIONAL,SANTO DOMINGO DE GUZMÁN,JARDINES DEL SUR,94664,APARTAMENTOS,1272.27,78371832
03/10/2023,MARZO,2023,SAMANÁ,LAS TERRENAS,ABRA GRANDE,VUC0102-2023,VIVIENDAS,329.76,20313216
03/13/2023,MARZO,2023,DISTRITO NACIONAL,SANTO DOMINGO DE GUZMÁN,ARROYO MANZANO,93894-B,COMBINADOS,0,0
03/13/2023,MARZO,2023,DISTRITO NACIONAL,SANTO DOMINGO DE GUZMÁN,PALMA REAL,94665,OBRAS DE ORDEN SOCIAL,925,56980000
03/13/2023,MARZO,2023,SANTIAGO,SANTIAGO,GURABO ABAJO,23110 RN,APARTAMENTOS,248.96,15335936
03/13/2023,MARZO,2023,SANTO DOMINGO,BOCA CHICA,RESIDENCIAL PANAMERICANO,94421-A,APARTAMENTOS,0,0
03/13/2023,MARZO,2023,SANTO DOMINGO,LOS ALCARRIZOS,RESIDENCIAL LOS HIDALGOS,94666,VIVIENDAS,774.6,47715360
03/14/2023,MARZO,2023,DISTRITO NACIONAL,SANTO DOMINGO DE GUZMÁN,LOS RÍOS,94667,APARTAMENTOS,5732.86,353144176
03/14/2023,MARZO,2023,SANTIAGO,TAMBORIL,ARENOSO,23111 RN,APARTAMENTOS,967.83,59618328
03/15/2023,MARZO,2023,DUARTE,SAN FRANCISCO DE MACORÍS,URBANIZACIÓN ÁLVAREZ,396 RNE,APARTAMENTOS,1439.13,88650408
03/15/2023,MARZO,2023,HERMANAS MIRABAL,SALCEDO,LOS ALMENDROS,397 RNE,APARTAMENTOS,1029.6,63423360
03/15/2023,MARZO,2023,SANTIAGO,SANTIAGO,LA BARRANQUITA,94672,ESTACIÓN DE COMBUSTIBLE,379,23346400
03/15/2023,MARZO,2023,SANTIAGO,SANTIAGO,RESIDENCIAL JULISA,23112 RN,VIVIENDAS,472.41,29100456
03/15/2023,MARZO,2023,SANTO DOMINGO,LOS ALCARRIZOS,PALMAREJO,92794,APARTAMENTOS,10500,600600000
03/15/2023,MARZO,2023,SANTO DOMINGO,SANTO DOMINGO ESTE,BRISA ORIENTAL,94668,APARTAMENTOS,2202.15,135652440
03/15/2023,MARZO,2023,SANTO DOMINGO,SANTO DOMINGO ESTE,LOS FRAILES I,94671,APARTAMENTOS,1200.23,73934168
03/15/2023,MARZO,2023,SANTO DOMINGO,SANTO DOMINGO NORTE,MARAÑÓN II,94670,APARTAMENTOS,870.56,53626496
03/15/2023,MARZO,2023,VALVERDE,MAO,URBANIZACIÓN BELLO ATARDECER,23113 RN,VIVIENDAS,296.23,18247768
03/16/2023,MARZO,2023,SANTIAGO,SANTIAGO,LA ESMERALDA,23084 RN,APARTAMENTOS,3635.37,223938792
03/16/2023,MARZO,2023,SANTO DOMINGO,SANTO DOMINGO ESTE,TROPICAL DEL ESTE,59921-A,COMERCIAL Y OFICINAS,354.89,21861224
03/17/2023,MARZO,2023,DISTRITO NACIONAL,SANTO DOMINGO DE GUZMÁN,ENSANCHE NACO,94673,COMBINADOS,18720.92,1153208672
03/17/2023,MARZO,2023,DISTRITO NACIONAL,SANTO DOMINGO DE GUZMÁN,LOS RÍOS,92396-R,ESTRUCTURAS ESPECIALES,0,0
03/17/2023,MARZO,2023,DISTRITO NACIONAL,SANTO DOMINGO DE GUZMÁN,LOS RÍOS,94675,VIVIENDAS,1436,88457600
03/17/2023,MARZO,2023,DISTRITO NACIONAL,SANTO DOMINGO DE GUZMÁN,PARAÍSO,94029,APARTAMENTOS,5443.24,335303584
03/21/2023,MARZO,2023,LA VEGA,LA VEGA,JARDINES UNIVERSITARIOS,00198 RCS,APARTAMENTOS,353.8,21794080
03/22/2023,MARZO,2023,HERMANAS MIRABAL,SALCEDO,JAYABO AFUERA,VUC0085-2023,APARTAMENTOS,0,0
03/22/2023,MARZO,2023,LA VEGA,LA VEGA,JUAN PABLO DUARTE,93817-R,APARTAMENTOS,0,0
03/22/2023,MARZO,2023,SANTO DOMINGO,SANTO DOMINGO ESTE,EL TAMARINDO,OF-002-23,APARTAMENTOS,0,0
03/23/2023,MARZO,2023,SANTIAGO,SANTIAGO,LOS SAMANES,23114 RN,VIVIENDAS,495.79,30540664
03/24/2023,MARZO,2023,DISTRITO NACIONAL,SANTO DOMINGO DE GUZMÁN,LA JULIA,38411-F,COLEGIOS Y CENTROS EDUCATIVOS,2414.71,148746136
03/24/2023,MARZO,2023,DISTRITO NACIONAL,SANTO DOMINGO DE GUZMÁN,LA MESETA,93249-R,APARTAMENTOS,0,0
03/24/2023,MARZO,2023,DISTRITO NACIONAL,SANTO DOMINGO DE GUZMÁN,LOS RESTAURADORES,94680,APARTAMENTOS,1584,97574400
03/24/2023,MARZO,2023,DISTRITO NACIONAL,SANTO DOMINGO DE GUZMÁN,PARAÍSO,94679,APARTAMENTOS,6969,429290400
03/24/2023,MARZO,2023,DUARTE,SAN FRANCISCO DE MACORÍS,CRUCE DE MIRABEL,398 RNE,APARTAMENTOS,3119.4,192155040
03/24/2023,MARZO,2023,SANTIAGO,LICEY AL MEDIO,LOS MIRANDAS,94681,ESTACIÓN DE COMBUSTIBLE,550,33880000
03/24/2023,MARZO,2023,SANTO DOMINGO,SANTO DOMINGO ESTE,RESIDENCIAL NUEVO AMANECER,94682,APARTAMENTOS,1105.71,68111736
03/27/2023,MARZO,2023,SANTO DOMINGO,SANTO DOMINGO OESTE,MIRADOR DEL OESTE,94683,APARTAMENTOS,797,49095200
03/28/2023,MARZO,2023,PERAVIA,BANÍ,EL LLANO,94307-A,VIVIENDAS,0,0
03/28/2023,MARZO,2023,SAN JUAN,SAN JUAN,URBANIZACIÓN MARRANZINI,94685,APARTAMENTOS,911.98,56177968
03/28/2023,MARZO,2023,SANTIAGO,BISONÓ,PONTÓN,23117 RN,APARTAMENTOS,2362.37,145521992
03/28/2023,MARZO,2023,SANTIAGO,SANTIAGO,RESIDENCIAL CORONA PLAZA,23118 RN,APARTAMENTOS,937.27,57735832
03/28/2023,MARZO,2023,SANTIAGO,SANTIAGO,VILLA OLGA,23116 RN,APARTAMENTOS,3631.26,223685616
03/28/2023,MARZO,2023,SANTO DOMINGO,SANTO DOMINGO ESTE,RESIDENCIAL NUEVO SOL NACIENTE,94686,APARTAMENTOS,910,56056000
03/29/2023,MARZO,2023,SAN PEDRO DE MACORÍS,GUAYACANES,JUAN DOLIO,94687,CENTROS DE RECREACIÓN Y DEPORTES,1379.33,84966728
03/29/2023,MARZO,2023,SAN PEDRO DE MACORÍS,GUAYACANES,JUAN DOLIO,94689,APARTAMENTOS,1483,91352800
03/29/2023,MARZO,2023,SANTIAGO,SANTIAGO,LA FARDIQUERA,23120 RN,APARTAMENTOS,1802.13,111011208
03/29/2023,MARZO,2023,SANTO DOMINGO,SANTO DOMINGO OESTE,VILLA PERAVIA,94688,APARTAMENTOS,1652.75,101809400
03/30/2023,MARZO,2023,DISTRITO NACIONAL,SANTO DOMINGO DE GUZMÁN,CACIQUE,94694,APARTAMENTOS,500.08,30804928
03/30/2023,MARZO,2023,DISTRITO NACIONAL,SANTO DOMINGO DE GUZMÁN,EL MILLÓN,94697,APARTAMENTOS,2729.61,168143976
03/30/2023,MARZO,2023,DISTRITO NACIONAL,SANTO DOMINGO DE GUZMÁN,EL MILLÓN,94701,APARTAMENTOS,2170.42,133697872
03/30/2023,MARZO,2023,DISTRITO NACIONAL,SANTO DOMINGO DE GUZMÁN,ENSANCHE NACO,94698,COMERCIAL Y OFICINAS,15292.9,942042640
03/30/2023,MARZO,2023,PUERTO PLATA,VILLA MONTELLANO,LA GRAN PARADA,23119 RN,APARTAMENTOS,3887.57,239474312
03/30/2023,MARZO,2023,SAN PEDRO DE MACORÍS,GUAYACANES,VILLA DEL MAR,94693,APARTAMENTOS,816.13,50273608
03/30/2023,MARZO,2023,SANTIAGO,SANTIAGO,ARBOLEDA,23121 RN,APARTAMENTOS,522.51,32186616
03/30/2023,MARZO,2023,SANTIAGO,SANTIAGO,VISTA LINDA,23031-A RN,APARTAMENTOS,0,0
03/30/2023,MARZO,2023,SANTO DOMINGO,SANTO DOMINGO ESTE,EL VALIENTE,94695,ESTRUCTURAS ESPECIALES,19538.31,1203559896
03/30/2023,MARZO,2023,SANTO DOMINGO,SANTO DOMINGO ESTE,PRADO ORIENTAL,94700,APARTAMENTOS,491,30245600
03/30/2023,MARZO,2023,SANTO DOMINGO,SANTO DOMINGO NORTE,EL EDÉN,94696,APARTAMENTOS,293.25,18064200
03/30/2023,MARZO,2023,SANTO DOMINGO,SANTO DOMINGO NORTE,GUARICANO,94699,APARTAMENTOS,4576.84,261795248
03/30/2023,MARZO,2023,SANTO DOMINGO,SANTO DOMINGO OESTE,VILLA AURA,94692,APARTAMENTOS,985,60676000
03/31/2023,MARZO,2023,DISTRITO NACIONAL,SANTO DOMINGO DE GUZMÁN,ARROYO MANZANO,94705,VIVIENDAS,153,9424800
03/31/2023,MARZO,2023,DISTRITO NACIONAL,SANTO DOMINGO DE GUZMÁN,ARROYO MANZANO,94706,VIVIENDAS,182,11211200
03/31/2023,MARZO,2023,DISTRITO NACIONAL,SANTO DOMINGO DE GUZMÁN,LOS RÍOS,94570,APARTAMENTOS,3916.01,241226216
03/31/2023,MARZO,2023,ESPAILLAT,MOCA,ESTANCIA NUEVA,94742,APARTAMENTOS,1176,72441600
03/31/2023,MARZO,2023,MARÍA TRINIDAD SÁNCHEZ,RÍO SAN JUAN,LOS CAJUILES,94709,VIVIENDAS,706.37,43512392
03/31/2023,MARZO,2023,MONTE PLATA,MONTE PLATA,LAS CINCO CASAS,94704,ESTACIÓN DE COMBUSTIBLE,489.06,30126096
03/31/2023,MARZO,2023,PUERTO PLATA,SOSÚA,PERLA MARINA,94614,APARTAMENTOS,2652,163363200
03/31/2023,MARZO,2023,SAMANÁ,LAS TERRENAS,EL PORTILLO,94703,APARTAMENTOS,4318.05,265991880
03/31/2023,MARZO,2023,SAN PEDRO DE MACORÍS,RAMÓN SANTANA,EL SOCO,94707,VIVIENDAS,513.47,31629752
03/31/2023,MARZO,2023,SAN PEDRO DE MACORÍS,RAMÓN SANTANA,EL SOCO,94710,VIVIENDAS,415.05,25567080
03/31/2023,MARZO,2023,SAN PEDRO DE MACORÍS,RAMÓN SANTANA,EL SOCO,94711,VIVIENDAS,414.7,25545520
03/31/2023,MARZO,2023,SANTIAGO,LICEY AL MEDIO,LIMONAL ARRIBA,94506,APARTAMENTOS,57820.07,3307308004
03/31/2023,MARZO,2023,SANTIAGO,SANTIAGO,GURABO,23124 RN,APARTAMENTOS,1240.32,76403712
03/31/2023,MARZO,2023,SANTIAGO,SANTIAGO,JACAGUA,23125 RN,APARTAMENTOS,438.1,26986960
03/31/2023,MARZO,2023,SANTIAGO,SANTIAGO,LOS SAMANES,23122 RN,VIVIENDAS,495.05,30495080
03/31/2023,MARZO,2023,SANTIAGO,SANTIAGO,RAPARTO OQUET,VUC000011-2022,COMERCIAL Y OFICINAS,1237.5,76230000
03/31/2023,MARZO,2023,SANTIAGO,SANTIAGO,URBANIZACIÓN MONTE VERDE,23123 RN,APARTAMENTOS,813.28,50098048
03/31/2023,MARZO,2023,SANTO DOMINGO,BOCA CHICA,ANDRÉS,93482,ESTRUCTURAS ESPECIALES,8242.94,507765104
03/31/2023,MARZO,2023,SANTO DOMINGO,SANTO DOMINGO ESTE,PRADO ORIENTAL,94713,APARTAMENTOS,623,38376800
03/31/2023,MARZO,2023,SANTO DOMINGO,SANTO DOMINGO ESTE,RESIDENCIAL LAS AMÉRICAS,94669,APARTAMENTOS,544,33510400
03/31/2023,MARZO,2023,SANTO DOMINGO,SANTO DOMINGO ESTE,URBANIZACIÓN LUCERNA,94716,APARTAMENTOS,1738,107060800
03/31/2023,MARZO,2023,SANTO DOMINGO,SANTO DOMINGO NORTE,CIUDAD MODELO O SATÉLITE,94715,VIVIENDAS,345.58,21287728
03/31/2023,MARZO,2023,SANTO DOMINGO,SANTO DOMINGO NORTE,EL EDÉN,94714,APARTAMENTOS,460,28336000
04/03/2023,ABRIL,2023,DUARTE,CASTILLO,PUERTO RICO,399 RNE,COMERCIAL Y OFICINAS,615.38,37907408
04/04/2023,ABRIL,2023,ESPAILLAT,MOCA,ESTANCIA NUEVA,23128 RN,APARTAMENTOS,612.15,37708440
04/04/2023,ABRIL,2023,ESPAILLAT,MOCA,JUAN LÓPEZ ARRIBA,94717,ESTACIÓN DE COMBUSTIBLE,362,22299200
04/04/2023,ABRIL,2023,ESPAILLAT,MOCA,RESIDENCIAL ESTANZA,23127 RN,APARTAMENTOS,520.11,32038776
04/04/2023,ABRIL,2023,LA ALTAGRACIA,HIGÜEY,BÁVARO,00081 RY,COMBINADOS,133417.65,8218527240
04/04/2023,ABRIL,2023,LA ALTAGRACIA,HIGÜEY,BÁVARO,00136 RY,COMBINADOS,14460.13,890744008
04/04/2023,ABRIL,2023,LA ALTAGRACIA,HIGÜEY,PUEBLO BÁVARO,00138 RY,APARTAMENTOS,3151.98,194161968
04/04/2023,ABRIL,2023,SAN PEDRO DE MACORÍS,RAMÓN SANTANA,EL SOCO,00137 RY,APARTAMENTOS,2475.49,152490184
04/04/2023,ABRIL,2023,SANTIAGO,SANTIAGO,REPARTO CONSUELO,23126 RN,APARTAMENTOS,2482.44,152918304
04/05/2023,ABRIL,2023,ESPAILLAT,MOCA,VILLA CAROLINA I,23130 RN,APARTAMENTOS,728.22,44858352
04/05/2023,ABRIL,2023,LA ALTAGRACIA,HIGÜEY,PUNTA CANA,00139 RY,VIVIENDAS,760.92,46872672
04/05/2023,ABRIL,2023,LA VEGA,LA VEGA,RESIDENCIAL DON BARTOLO,00199 RCS,VIVIENDAS,496.52,30585632
04/05/2023,ABRIL,2023,SANTIAGO,PUÑAL,URBANIZACIÓN THOMÉN,23129 RN,APARTAMENTOS,544.52,33542432
04/05/2023,ABRIL,2023,SANTIAGO,SANTIAGO,LOS RIELES,23131 RN,APARTAMENTOS,3820,235312000
04/12/2023,ABRIL,2023,PERAVIA,BANÍ,BOCA CANASTA,OF-003-23,APARTAMENTOS,0,0
04/12/2023,ABRIL,2023,SANTIAGO,SANTIAGO,URBANIZACIÓN DON JOSÉ MARÍA,23132 RN,VIVIENDAS,357.61,22028776
04/12/2023,ABRIL,2023,SANTO DOMINGO,SANTO DOMINGO ESTE,LOS MOLINOS,94719,VIVIENDAS,309.38,19057808
04/12/2023,ABRIL,2023,SANTO DOMINGO,SANTO DOMINGO ESTE,RESIDENCIAL AMANDA II,94718,APARTAMENTOS,469.93,28947688
04/13/2023,ABRIL,2023,LA ALTAGRACIA,HIGÜEY,PUNTA CANA,94368,COMBINADOS,19262.22,1186552752
04/13/2023,ABRIL,2023,PUERTO PLATA,PUERTO PLATA,GREGORIO LUPERÓN,23134 RN,APARTAMENTOS,7722.75,475721400
04/13/2023,ABRIL,2023,SANTIAGO,SANTIAGO,LA FLOR,23133 RN,APARTAMENTOS,558.44,34399904
04/14/2023,ABRIL,2023,SANTO DOMINGO,SANTO DOMINGO ESTE,JUAN LÓPEZ,94721,APARTAMENTOS,1133.32,69812512
04/17/2023,ABRIL,2023,DISTRITO NACIONAL,SANTO DOMINGO DE GUZMÁN,BELLA VISTA,94722,APARTAMENTOS,6370.51,392423416
