,,,,,,,,,
Licencias Emitidas 2022-2025,,,,,,,,,
Fecha de Emisión,Mes,Año,Provincia,Municipio,Barrio/Sector,Número de Licencia,Tipologia,Metros Cuadrados,Inversión Total
01/26/2022,ENERO,2022,SANTO DOMINGO,SANTO DOMINGO ESTE,LOS FRAILES,93910,APARTAMENTOS,1914.47,109507684
01/26/2022,ENERO,2022,SANTO DOMINGO,SANTO DOMINGO ESTE,MENDOZA,93450,APARTAMENTOS,3172,181438400
01/27/2022,ENERO,2022,DISTRITO NACIONAL,SANTO DOMINGO DE GUZMÁN,ALTOS DE ARROYO HONDO,93914,APARTAMENTOS,1400.24,86254784
01/27/2022,ENERO,2022,DISTRITO NACIONAL,SANTO DOMINGO DE GUZMÁN,VIEJO ARROYO HONDO,93915,APARTAMENTOS,1325.93,81677288
01/27/2022,ENERO,2022,SANTIAGO,PUÑAL,URBANIZACIÓN THOMÉN,22783 RN,VIVIENDAS,895.09,55137544
01/27/2022,ENERO,2022,SANTO DOMINGO,SANTO DOMINGO ESTE,BRISA ORIENTAL VIII,93297,APARTAMENTOS,9419.78,580258448
01/27/2022,ENERO,2022,SANTO DOMINGO,SANTO DOMINGO ESTE,VISTA HERMOSA,93912,APARTAMENTOS,1410,86856000
01/28/2022,ENERO,2022,DISTRITO NACIONAL,SANTO DOMINGO DE GUZMÁN,GASCUE,92986-A,APARTAMENTOS,0,0
01/28/2022,ENERO,2022,SANTO DOMINGO,SANTO DOMINGO ESTE,ISABELITA,93916,APARTAMENTOS,2007.62,114835864
01/28/2022,ENERO,2022,SANTO DOMINGO,SANTO DOMINGO ESTE,LOS TRES OJOS,57717-A,APARTAMENTOS,393.46,24237136
01/31/2022,ENERO,2022,DISTRITO NACIONAL,SANTO DOMINGO DE GUZMÁN,ALTOS DE ARROYO HONDO,93918,VIVIENDAS,680,41888000
01/31/2022,ENERO,2022,MARÍA TRINIDAD SÁNCHEZ,NAGUA,LIBERTAD (EL GUAYO),93917,APARTAMENTOS,1542,94987200
01/31/2022,ENERO,2022,SANTO DOMINGO,SANTO DOMINGO ESTE,VISTA HERMOSA,93920,APARTAMENTOS,1136.36,69999776
01/31/2022,ENERO,2022,SANTO DOMINGO,SANTO DOMINGO NORTE,GUARICANO,93919,APARTAMENTOS,2367.24,135406128
01/31/2022,ENERO,2022,SANTO DOMINGO,SANTO DOMINGO NORTE,MIRADOR ISABELA O EL DORADO,93921,APARTAMENTOS,554.27,34143032
02/01/2022,FEBRERO,2022,DISTRITO NACIONAL,SANTO DOMINGO DE GUZMÁN,ENSANCHE NACO,92724-A,APARTAMENTOS,2748,169276800
02/01/2022,FEBRERO,2022,ESPAILLAT,MOCA,VILLA ESMERALDA,22785 RN,APARTAMENTOS,1269.84,78222144
02/01/2022,FEBRERO,2022,LA ALTAGRACIA,HIGÜEY,LA JARDA DE HOYO CLARO,00047 RY,APARTAMENTOS,903.87,55678392
02/01/2022,FEBRERO,2022,LA ALTAGRACIA,HIGÜEY,PUNTA CANA,00064 RY,VIVIENDAS,541.64,33365024
02/01/2022,FEBRERO,2022,SANTIAGO,SANTIAGO,LAS CARMELITAS,22784 RN,VIVIENDAS,218.18,13439888
02/02/2022,FEBRERO,2022,DISTRITO NACIONAL,SANTO DOMINGO DE GUZMÁN,LA AGUSTINA,93922,COMERCIAL Y OFICINAS,1328.28,81822048
02/02/2022,FEBRERO,2022,LA VEGA,LA VEGA,LAS MARAS,00160 RCS,APARTAMENTOS,596.69,36756104
